mapping_id,table,column,source_pointer,traitement,reference
F0268,STR_ADDRESS,type_code,#/components/schemas/StructuredAddress/properties/typeCode,FK_VERSIONNEE,REF_TYPE_ADRESSE
F0274,STR_ADDRESS,province_state_code,#/components/schemas/ProvinceStateCode/oneOf/0,BRANCHE_OUVERTE_SANS_FK,
F0275,STR_ADDRESS,province_state_code,#/components/schemas/ProvinceStateCode/oneOf/1,BRANCHE_OUVERTE_SANS_FK,
F0276,STR_ADDRESS,province_state_code,#/components/schemas/ProvinceStateCode/oneOf/2,BRANCHE_OUVERTE_SANS_FK,
F0281,STR_ADDRESS,country_code,#/components/schemas/CountryCode,FK_VERSIONNEE,REF_PAYS
F0282,STR_ADDRESS,type_code,#/components/schemas/UnstructuredAddress/properties/typeCode,FK_VERSIONNEE,REF_TYPE_ADRESSE
F0283,STR_ADDRESS,country_code,#/components/schemas/CountryCode,FK_VERSIONNEE,REF_PAYS
F0290,STR_TRUST_UNIT_OWNER,address_type_code,#/components/schemas/addressTypeCode,FK_VERSIONNEE,REF_TYPE_ADRESSE
F0291,STR_ADDRESS,type_code,#/components/schemas/StructuredAddress/properties/typeCode,FK_VERSIONNEE,REF_TYPE_ADRESSE
F0297,STR_ADDRESS,province_state_code,#/components/schemas/ProvinceStateCode/oneOf/0,BRANCHE_OUVERTE_SANS_FK,
F0298,STR_ADDRESS,province_state_code,#/components/schemas/ProvinceStateCode/oneOf/1,BRANCHE_OUVERTE_SANS_FK,
F0299,STR_ADDRESS,province_state_code,#/components/schemas/ProvinceStateCode/oneOf/2,BRANCHE_OUVERTE_SANS_FK,
F0304,STR_ADDRESS,country_code,#/components/schemas/CountryCode,FK_VERSIONNEE,REF_PAYS
F0305,STR_ADDRESS,type_code,#/components/schemas/UnstructuredAddress/properties/typeCode,FK_VERSIONNEE,REF_TYPE_ADRESSE
F0306,STR_ADDRESS,country_code,#/components/schemas/CountryCode,FK_VERSIONNEE,REF_PAYS
F0313,STR_TRUST_BENEFICIARY,address_type_code,#/components/schemas/addressTypeCode,FK_VERSIONNEE,REF_TYPE_ADRESSE
F0314,STR_ADDRESS,type_code,#/components/schemas/StructuredAddress/properties/typeCode,FK_VERSIONNEE,REF_TYPE_ADRESSE
F0320,STR_ADDRESS,province_state_code,#/components/schemas/ProvinceStateCode/oneOf/0,BRANCHE_OUVERTE_SANS_FK,
F0321,STR_ADDRESS,province_state_code,#/components/schemas/ProvinceStateCode/oneOf/1,BRANCHE_OUVERTE_SANS_FK,
F0322,STR_ADDRESS,province_state_code,#/components/schemas/ProvinceStateCode/oneOf/2,BRANCHE_OUVERTE_SANS_FK,
F0327,STR_ADDRESS,country_code,#/components/schemas/CountryCode,FK_VERSIONNEE,REF_PAYS
F0328,STR_ADDRESS,type_code,#/components/schemas/UnstructuredAddress/properties/typeCode,FK_VERSIONNEE,REF_TYPE_ADRESSE
F0329,STR_ADDRESS,country_code,#/components/schemas/CountryCode,FK_VERSIONNEE,REF_PAYS
F0341,STR_TRANSACTION,method_code,#/components/schemas/STRReport/properties/transactions/items/properties/suspiciousTransactionDetails/properties/methodCode,FK_VERSIONNEE,REF_METHODE_OPERATION
F0347,STR_STARTING_ACTION,direction,#/components/schemas/STRReport/properties/transactions/items/properties/startingActions/items/properties/details/properties/direction,FK_VERSIONNEE,REF_SENS_ACTION
F0348,STR_STARTING_ACTION,fund_type_code,#/components/schemas/STRReport/properties/transactions/items/properties/startingActions/items/properties/details/properties/fundAssetVirtualCurrencyTypeCode,FK_VERSIONNEE,REF_NATURE_FONDS
F0351,STR_STARTING_ACTION,currency_code,#/components/schemas/CurrencyCode,FK_VERSIONNEE,REF_DEVISE
F0352,STR_STARTING_ACTION,vc_type_code,#/components/schemas/VirtualCurrencyCode,FK_VERSIONNEE,REF_MONNAIE_VIRTUELLE
F0363,STR_ACCOUNT,type_code,#/components/schemas/strAccount/properties/typeCode,FK_VERSIONNEE,REF_TYPE_COMPTE
F0365,STR_ACCOUNT,currency_code,#/components/schemas/CurrencyCode,FK_VERSIONNEE,REF_DEVISE
F0366,STR_ACCOUNT,vc_type_code,#/components/schemas/VirtualCurrencyCode,FK_VERSIONNEE,REF_MONNAIE_VIRTUELLE
F0370,STR_ACCOUNT_HOLDER,type_code,#/components/schemas/definitionType12,FK_VERSIONNEE,REF_TYPE_DEFINITION
F0372,STR_STARTING_ACTION,account_status_code,#/components/schemas/accountStatusAtTimeOfTransaction,FK_VERSIONNEE,REF_STATUT_COMPTE
F0376,STR_SOURCE_OF_FUNDS,type_code,#/components/schemas/definitionType12,FK_VERSIONNEE,REF_TYPE_DEFINITION
F0381,STR_CONDUCTOR,type_code,#/components/schemas/definitionType56,FK_VERSIONNEE,REF_TYPE_DEFINITION
F0386,STR_CONDUCTOR,device_type_code,#/components/schemas/typeOfDeviceCode,FK_VERSIONNEE,REF_TYPE_APPAREIL
F0393,STR_ON_BEHALF_OF,type_code,#/components/schemas/definitionType56,FK_VERSIONNEE,REF_TYPE_DEFINITION
F0398,STR_ON_BEHALF_OF,relationship_code,#/components/schemas/relationshipOfConductorCodeWithVendor,FK_VERSIONNEE,REF_RELATION_TIERS
F0400,STR_COMPLETING_ACTION,disposition_code,#/components/schemas/STRReport/properties/transactions/items/properties/completingActions/items/properties/details/properties/dispositionCode,FK_VERSIONNEE,REF_DISPOSITION
F0403,STR_COMPLETING_ACTION,currency_code,#/components/schemas/CurrencyCode,FK_VERSIONNEE,REF_DEVISE
F0404,STR_COMPLETING_ACTION,vc_type_code,#/components/schemas/VirtualCurrencyCode,FK_VERSIONNEE,REF_MONNAIE_VIRTUELLE
F0416,STR_ACCOUNT,type_code,#/components/schemas/strAccount/properties/typeCode,FK_VERSIONNEE,REF_TYPE_COMPTE
F0418,STR_ACCOUNT,currency_code,#/components/schemas/CurrencyCode,FK_VERSIONNEE,REF_DEVISE
F0419,STR_ACCOUNT,vc_type_code,#/components/schemas/VirtualCurrencyCode,FK_VERSIONNEE,REF_MONNAIE_VIRTUELLE
